Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
0200E3     11D    No     000019F7-00001B18      122
023DD0      6B    No     00001B19-00001B88       70
023E80      14    No     00001B89-00001BA1       19
0442AE       2    No     00001BA2-00001BA8        7
04432E       2    No     00001BA9-00001BAF        7
0444A0       2    No     00001BB0-00001BB6        7
044520       2    No     00001BB7-00001BBD        7
044844       2    No     00001BBE-00001BC4        7
044A2E       2    No     00001BC5-00001BCB        7
044C8C       4    No     00001BCC-00001BD4        9
044C9C       4    No     00001BD5-00001BDD        9
044CAC       4    No     00001BDE-00001BE6        9
044CBC       4    No     00001BE7-00001BEF        9
044CCC       4    No     00001BF0-00001BF8        9
044CDC       4    No     00001BF9-00001C01        9
044CEC       4    No     00001C02-00001C0A        9
044CFC       8    No     00001C0B-00001C17        D
044D10       4    No     00001C18-00001C20        9
044D20       3    No     00001C21-00001C28        8
044D30       4    No     00001C29-00001C31        9
044D40       4    No     00001C32-00001C3A        9
044D50       4    No     00001C3B-00001C43        9
044D60      14    Yes    00001C44-00001C4B        8
044DE0      20    No     00001C4C-00001C70       25
044E80      C0    No     00001C71-00001D35       C5
044F40      20    Yes    00001D36-00001D3D        8
044F60      38    No     00001D3E-00001D7A       3D
044FE0      20    No     00001D7B-00001D9F       25
045040      A0    No     00001DA0-00001E44       A5
0450E0      20    Yes    00001E45-00001E4C        8
045101      3F    No     00001E4D-00001E90       44
045140      20    Yes    00001E91-00001E98        8
045160      30    No     00001E99-00001ECD       35
045198       8    No     00001ECE-00001EDA        D
045240      40    No     00001EDB-00001F1F       45
045801      5F    Yes    00001F20-00001F27        8
045861      DE    No     00001F28-0000200A       E3
04593F      81    Yes    0000200B-00002012        8
0459C0     1FF    No     00002013-00002216      204
045BC0      21    Yes    00002217-0000221E        8
045BE1      5E    No     0000221F-00002281       63
045C3F      17    Yes    00002282-00002289        8
045C56       9    No     0000228A-00002297        E
045C5F      28    Yes    00002298-0000229F        8
045C87       9    No     000022A0-000022AD        E
045CA0       F    No     000022AE-000022C1       14
045CAF      17    Yes    000022C2-000022C9        8
045CC6       A    No     000022CA-000022D8        F
045CD7      10    Yes    000022D9-000022E0        8
045CE7       9    No     000022E1-000022EE        E
045CF1      19    Yes    000022EF-000022F6        8
045D0A       6    No     000022F7-00002301        B
045D11      1F    Yes    00002302-00002309        8
045D36       9    No     0000230A-00002317        E
045D46      F9    No     00002318-00002415       FE
045E40       F    Yes    00002416-0000241D        8
045E50       F    No     0000241E-00002431       14
045E5F      1C    Yes    00002432-00002439        8
045E91       F    Yes    0000243A-00002441        8
045EA0      10    No     00002442-00002456       15
045EC0       F    No     00002457-0000246A       14
045ED1       7    Yes    0000246B-00002472        8
045EE1       F    No     00002473-00002486       14
045EF7       5    Yes    00002487-0000248E        8
045F00      10    No     0000248F-000024A3       15
045F1E       1    No     000024A4-000024A9        6
045F30      D8    No     000024AA-00002586       DD
046010       7    No     00002587-00002592        C
046020       8    No     00002593-0000259F        D
046030       7    No     000025A0-000025AB        C
046050       7    No     000025AC-000025B7        C
046062       6    No     000025B8-000025C2        B
046074       3    No     000025C3-000025CA        8
046081       7    No     000025CB-000025D6        C
0460A0       7    No     000025D7-000025E2        C
0460C0       7    No     000025E3-000025EE        C
0460E1       7    No     000025EF-000025FA        C
046100       6    No     000025FB-00002605        B
046110       1    No     00002606-0000260B        6
046130       7    No     0000260C-00002617        C
046140       7    No     00002618-00002623        C
046150       7    No     00002624-0000262F        C
046161       7    No     00002630-0000263B        C
046170       7    No     0000263C-00002647        C
046180     181    No     00002648-000027CD      186
04630A       9    No     000027CE-000027DB        E
04631C       3    No     000027DC-000027E3        8
046328       9    No     000027E4-000027F1        E
04633A       9    No     000027F2-000027FF        E
04634A       B    No     00002800-0000280F       10
04635C       1    No     00002810-00002815        6
04637A       9    No     00002816-00002823        E
046398       1    No     00002824-00002829        6
0463BA       9    No     0000282A-00002837        E
0463D4       1    No     00002838-0000283D        6
0463FA       D    No     0000283E-0000284F       12
046414       5    No     00002850-00002859        A
04643A       D    No     0000285A-0000286B       12
046458       1    No     0000286C-00002871        6
04647A       9    No     00002872-0000287F        E
0464B0       5    No     00002880-00002889        A
0464BE      33    No     0000288A-000028C1       38
0464FE     441    No     000028C2-00002D07      446
057280      20    No     00002D08-00002D2C       25
0572AB       5    No     00002D2D-00002D36        A
057410      35    No     00002D37-00002D70       3A
05744C      53    No     00002D71-00002DC8       58
0574E4       B    No     00002DC9-00002DD8       10
057503       D    No     00002DD9-00002DEA       12
057520      80    No     00002DEB-00002E6F       85
0575D0       F    No     00002E70-00002E83       14
057633       9    No     00002E84-00002E91        E
0576A1      11    No     00002E92-00002EA7       16
0576BB       1    No     00002EA8-00002EAD        6
0576E1       1    No     00002EAE-00002EB3        6
057737       7    No     00002EB4-00002EBF        C
057751       1    No     00002EC0-00002EC5        6
0577A1       D    No     00002EC6-00002ED7       12
0577D1       D    No     00002ED8-00002EE9       12
0577E5      19    No     00002EEA-00002F07       1E
057805      19    No     00002F08-00002F25       1E
057831      1D    No     00002F26-00002F47       22
057861      1D    No     00002F48-00002F69       22
057895       9    No     00002F6A-00002F77        E
0578A5       9    No     00002F78-00002F85        E
0578B5       B    No     00002F86-00002F95       10
0578C7      17    No     00002F96-00002FB1       1C
0578E5       9    No     00002FB2-00002FBF        E
057905       9    No     00002FC0-00002FCD        E
057915       9    No     00002FCE-00002FDB        E
057945      19    No     00002FDC-00002FF9       1E
057969       7    No     00002FFA-00003005        C
057979       7    No     00003006-00003011        C
057989       7    No     00003012-0000301D        C
0579B0      1B    No     0000301E-0000303D       20
0579E6       1    No     0000303E-00003043        6
0579F1       F    No     00003044-00003057       14
057AA0     366    No     00003058-000033C2      36B
057E1B       3    No     000033C3-000033CA        8
057E3B       3    No     000033CB-000033D2        8
057E83       B    No     000033D3-000033E2       10
057E9B     264    No     000033E3-0000364B      269
058115       9    No     0000364C-00003659        E
05814B       3    No     0000365A-00003661        8
058155      1B    No     00003662-00003681       20
067E6E       1    No     00003682-00003687        6
067E7C       7    No     00003688-00003693        C
067E94       B    No     00003694-000036A3       10
067EB2       1    No     000036A4-000036A9        6
068090       1    No     000036AA-000036AF        6
0680EE       3    No     000036B0-000036B7        8
068440      10    No     000036B8-000036CC       15
068450      10    Yes    000036CD-000036D4        8
068460      70    No     000036D5-00003749       75
0684F0      26    Yes    0000374A-00003751        8
068516     20E    No     00003752-00003964      213
068724      14    Yes    00003965-0000396C        8
068738     101    No     0000396D-00003A72      106
068839      17    Yes    00003A73-00003A7A        8
0689C2       E    No     00003A7B-00003A8D       13
0689F0       8    No     00003A8E-00003A9A        D
0689FE       4    No     00003A9B-00003AA3        9
068A1C      74    Yes    00003AA4-00003AAB        8
068A90      AD    No     00003AAC-00003B5D       B2
068B3D       F    Yes    00003B5E-00003B65        8
068B50      2D    No     00003B66-00003B97       32
068B84       C    No     00003B98-00003BA8       11
068B9A     177    No     00003BA9-00003D24      17C
068D17     1B1    No     00003D25-00003EDA      1B6
068ED6       1    No     00003EDB-00003EE0        6
068EE0      60    No     00003EE1-00003F45       65
068F46       9    No     00003F46-00003F53        E
068F59      65    No     00003F54-00003FBD       6A
068FC8      AD    No     00003FBE-0000406F       B2
069076      1A    Yes    00004070-00004077        8
069090      90    No     00004078-0000410C       95
069120       E    Yes    0000410D-00004114        8
06912E      71    No     00004115-0000418A       76
0691A8      8B    No     0000418B-0000421A       90
069240      15    Yes    0000421B-00004222        8
069258      5F    No     00004223-00004286       64
06E5D0      A8    No     00004287-00004333       AD
06E680      68    No     00004334-000043A0       6D
06E6EE     109    No     000043A1-000044AE      10E
06E7FF      6F    No     000044AF-00004522       74
06E874       4    No     00004523-0000452B        9
06E87E       E    No     0000452C-0000453E       13
06E892      36    No     0000453F-00004579       3B
06E8CF     101    No     0000457A-0000467F      106
06E9D6      3A    No     00004680-000046BE       3F
06EA18     130    No     000046BF-000047F3      135
06EB50     464    No     000047F4-00004C5C      469
06EFB4      94    Yes    00004C5D-00004C64        8
06F270      12    No     00004C65-00004C7B       17
06F290      48    No     00004C7C-00004CC8       4D
06F2E2      1F    No     00004CC9-00004CEC       24
06F320      54    No     00004CED-00004D45       59
06F392      2E    No     00004D46-00004D78       33
06F3D0      80    No     00004D79-00004DFD       85
06F460       8    No     00004DFE-00004E0A        D
06F46E       4    No     00004E0B-00004E13        9
06F860       7    No     00004E14-00004E1F        C
06F874       8    No     00004E20-00004E2C        D
06FF25      14    No     00004E2D-00004E45       19
06FF3F       5    No     00004E46-00004E4F        A
07004C       9    No     00004E50-00004E5D        E
070172       E    No     00004E5E-00004E70       13
070194       4    No     00004E71-00004E79        9
0701AA       2    No     00004E7A-00004E80        7
070331       7    No     00004E81-00004E8C        C
070349       1    No     00004E8D-00004E92        6
070379       1    No     00004E93-00004E98        6
070381       7    No     00004E99-00004EA4        C
070399       1    No     00004EA5-00004EAA        6
0703C8       8    No     00004EAB-00004EB7        D
