Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
04F218       7    No     0004CFC0-0004CFCB        C
04F21F      11    Yes    0004CFCC-0004CFD3        8
04F230      1B    No     0004CFD4-0004CFF3       20
04F24B      39    Yes    0004CFF4-0004CFFB        8
04F284      9C    No     0004CFFC-0004D09C       A1
04F320      17    Yes    0004D09D-0004D0A4        8
04F338      B9    No     0004D0A5-0004D162       BE
04F3F7     232    No     0004D163-0004D399      237
04F629       F    Yes    0004D39A-0004D3A1        8
04F638      A1    No     0004D3A2-0004D447       A6
04F6DA      2A    Yes    0004D448-0004D44F        8
04F704      87    No     0004D450-0004D4DB       8C
04F78B      1F    Yes    0004D4DC-0004D4E3        8
04F7AA      A0    No     0004D4E4-0004D588       A5
04F850     220    No     0004D589-0004D7AD      225
04FA70      13    Yes    0004D7AE-0004D7B5        8
04FA88      29    No     0004D7B6-0004D7E3       2E
04FAB1      1F    Yes    0004D7E4-0004D7EB        8
04FAD0      5F    No     0004D7EC-0004D84F       64
04FB37      2F    Yes    0004D850-0004D857        8
04FB66     385    No     0004D858-0004DBE1      38A
04FEEC      34    Yes    0004DBE2-0004DBE9        8
04FF20      49    No     0004DBEA-0004DC37       4E
04FF69      77    Yes    0004DC38-0004DC3F        8
04FFE0      20    Yes    0004DC40-0004DC47        8
050000     228    No     0004DC48-0004DE74      22D
05022F      41    No     0004DE75-0004DEBA       46
050276      12    No     0004DEBB-0004DED1       17
050288      18    Yes    0004DED2-0004DED9        8
0502A0     108    No     0004DEDA-0004DFE6      10D
0503A8      1A    Yes    0004DFE7-0004DFEE        8
0503C2      CE    No     0004DFEF-0004E0C1       D3
050497       1    No     0004E0C2-0004E0C7        6
0504A0     108    No     0004E0C8-0004E1D4      10D
0505B0       1    No     0004E1D5-0004E1DA        6
0505B8      48    No     0004E1DB-0004E227       4D
050600      18    Yes    0004E228-0004E22F        8
050618      19    No     0004E230-0004E24D       1E
050631      16    Yes    0004E24E-0004E255        8
050648     291    No     0004E256-0004E4EB      296
0508DA      26    Yes    0004E4EC-0004E4F3        8
050902     166    No     0004E4F4-0004E65E      16B
050A68      1A    Yes    0004E65F-0004E666        8
050A82      4A    No     0004E667-0004E6B5       4F
050AD4       5    Yes    0004E6B6-0004E6BD        8
050AE0       9    No     0004E6BE-0004E6CB        E
050AF8      2F    No     0004E6CC-0004E6FF       34
050B27      19    Yes    0004E700-0004E707        8
050B40     190    No     0004E708-0004E89C      195
050CD7      8E    No     0004E89D-0004E92F       93
050D65      23    Yes    0004E930-0004E937        8
050D8A     1CD    No     0004E938-0004EB09      1D2
050F58       D    Yes    0004EB0A-0004EB11        8
