Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
1502EC       3    No     00009E6B-00009E72        8
1502EF      11    Yes    00009E73-00009E7A        8
150300      60    No     00009E7B-00009EDF       65
150360      20    Yes    00009EE0-00009EE7        8
150380     118    No     00009EE8-0000A004      11D
1504A0      40    No     0000A005-0000A049       45
1504E0      22    Yes    0000A04A-0000A051        8
150502      FE    No     0000A052-0000A154      103
150606       A    No     0000A155-0000A163        F
150618      19    No     0000A164-0000A181       1E
150644      2B    No     0000A182-0000A1B1       30
150672       E    Yes    0000A1B2-0000A1B9        8
150680     111    No     0000A1BA-0000A2CF      116
150791       F    Yes    0000A2D0-0000A2D7        8
1507A0      60    No     0000A2D8-0000A33C       65
150800      20    Yes    0000A33D-0000A344        8
150820      21    No     0000A345-0000A36A       26
150842      1E    Yes    0000A36B-0000A372        8
150860      19    No     0000A373-0000A390       1E
150880       C    No     0000A391-0000A3A1       11
150894       6    No     0000A3A2-0000A3AC        B
1508A0      39    No     0000A3AD-0000A3EA       3E
1508E0     190    No     0000A3EB-0000A57F      195
150A79     150    No     0000A580-0000A6D4      155
150BC9      39    Yes    0000A6D5-0000A6DC        8
150C02     1DE    No     0000A6DD-0000A8BF      1E3
150DE0      22    Yes    0000A8C0-0000A8C7        8
150E02      5B    No     0000A8C8-0000A927       60
150E5D      23    Yes    0000A928-0000A92F        8
150E80       9    No     0000A930-0000A93D        E
150E89      17    Yes    0000A93E-0000A945        8
150EA0      3E    No     0000A946-0000A988       43
150EDE      22    Yes    0000A989-0000A990        8
150F00      70    No     0000A991-0000AA05       75
150F76     23C    No     0000AA06-0000AC46      241
1511B8      21    No     0000AC47-0000AC6C       26
1511D9      26    Yes    0000AC6D-0000AC74        8
15120A       6    No     0000AC75-0000AC7F        B
15121C     1FE    No     0000AC80-0000AE82      203
151420      15    No     0000AE83-0000AE9C       1A
15143C      38    No     0000AE9D-0000AED9       3D
151474      2C    Yes    0000AEDA-0000AEE1        8
1514A0      18    No     0000AEE2-0000AEFE       1D
1514C0      9A    No     0000AEFF-0000AF9D       9F
15155E      22    Yes    0000AF9E-0000AFA5        8
151580     20B    No     0000AFA6-0000B1B5      210
15178B      15    Yes    0000B1B6-0000B1BD        8
1517A0      5E    No     0000B1BE-0000B220       63
1517FE      29    Yes    0000B221-0000B228        8
151828      77    No     0000B229-0000B2A4       7C
1518A0       E    Yes    0000B2A5-0000B2AC        8
1518AE       1    No     0000B2AD-0000B2B2        6
1518AF      10    Yes    0000B2B3-0000B2BA        8
1518C4     150    No     0000B2BB-0000B40F      155
151A14      2C    Yes    0000B410-0000B417        8
151A40      12    No     0000B418-0000B42E       17
151A52       E    Yes    0000B42F-0000B436        8
151A60      33    No     0000B437-0000B46E       38
151A93      69    Yes    0000B46F-0000B476        8
151B02      2E    No     0000B477-0000B4A9       33
151B36      6A    No     0000B4AA-0000B518       6F
151BA0      20    Yes    0000B519-0000B520        8
151BC0      A1    No     0000B521-0000B5C6       A6
151C68       7    No     0000B5C7-0000B5D2        C
151C78     180    No     0000B5D3-0000B757      185
151DFF      B0    No     0000B758-0000B80C       B5
151EC0     26F    No     0000B80D-0000BA80      274
152130       D    Yes    0000BA81-0000BA88        8
15213D      63    No     0000BA89-0000BAF0       68
1521A1       D    Yes    0000BAF1-0000BAF8        8
1521AE       1    No     0000BAF9-0000BAFE        6
1521AF      11    Yes    0000BAFF-0000BB06        8
1521C0     237    No     0000BB07-0000BD42      23C
15240E       1    No     0000BD43-0000BD48        6
152418       F    Yes    0000BD49-0000BD50        8
152428      8D    No     0000BD51-0000BDE2       92
1524BB     116    No     0000BDE3-0000BEFD      11B
1525D1       F    Yes    0000BEFE-0000BF05        8
1525E0       3    No     0000BF06-0000BF0D        8
1525E3      1D    Yes    0000BF0E-0000BF15        8
152600      23    No     0000BF16-0000BF3D       28
152630       7    No     0000BF3E-0000BF49        C
152640      7C    No     0000BF4A-0000BFCA       81
1526BC      40    Yes    0000BFCB-0000BFD2        8
152700      F0    No     0000BFD3-0000C0C7       F5
1527F0       E    Yes    0000C0C8-0000C0CF        8
1527FE      E3    No     0000C0D0-0000C1B7       E8
1528E1      1F    Yes    0000C1B8-0000C1BF        8
152900      DF    No     0000C1C0-0000C2A3       E4
1529EC       3    No     0000C2A4-0000C2AB        8
1529FE     231    No     0000C2AC-0000C4E1      236
152C2F      11    Yes    0000C4E2-0000C4E9        8
152C40      11    No     0000C4EA-0000C4FF       16
152C56       9    Yes    0000C500-0000C507        8
152C60      A9    No     0000C508-0000C5B5       AE
152D09      17    Yes    0000C5B6-0000C5BD        8
152D20       F    No     0000C5BE-0000C5D1       14
152D2F      11    Yes    0000C5D2-0000C5D9        8
152D40      BF    No     0000C5DA-0000C69D       C4
152DFF      21    Yes    0000C69E-0000C6A5        8
152E20       3    No     0000C6A6-0000C6AD        8
152E23      1D    Yes    0000C6AE-0000C6B5        8
152E40       B    No     0000C6B6-0000C6C5       10
152E4B      15    Yes    0000C6C6-0000C6CD        8
152E61       C    No     0000C6CE-0000C6DE       11
152E6D      11    Yes    0000C6DF-0000C6E6        8
152E80      73    No     0000C6E7-0000C75E       78
